什么是表情包？,表达想法或情绪的图标
下列哪项不是麻瓜学校的授课课程,算数占卜
装着发动机的能在雪地中驾驶的机车叫做,机动雪机
麻瓜用来求助的国际通用摩斯电码求助信号是什么,sos
什么是计算器,能进行数学计算的设备
麻瓜使用机器人的目的不包括下列哪项,剪头发
麻瓜用公用电话亭做什么,联系某人或要求服务
如果你不想让麻瓜看见或进入一个区域你会用什么咒语,驱逐麻瓜咒
麻瓜用玩偶匣做什么,娱乐
古代麻瓜有一部名为汉谟拉比法典的著作你知道它是用什么文字写成的吗,楔形文字
麻瓜认为澳洲蛋白眼的故乡属于哪个洲,大洋洲
是麻瓜运用在计算机领域的储存单位请问1等于多少,1024
文学巨著战争与和平是哪位麻瓜文学家的代表作,列夫托尔斯泰
如果麻瓜的家起了火他们会给谁打电话请求灭火,消防员
以下哪个不是麻瓜用以收集的卡片,巧克力蛙卡片
麻瓜可能会用什么打扫房子,机器人自动真空吸尘器
麻瓜用蛙鞋做什么,潜水
记忆注销员对目睹了魔法现象的麻瓜使用的咒语是,遗忘咒
什么是电子邮件,用电子设备发送的信息
哪种工具能让麻瓜较为便利地使用电来追寻位置,卫星导航
最接近草药学家的麻瓜职业是,植物学家
由于空气中魔力过载什么东西在霍格沃茨会出乱子,电器
下列哪种场合适合穿着蓬蓬裙,跳芭蕾舞时
橡皮鸡的功能是,用作喜剧道具
下列哪项不是麻瓜使用的能量来源,闪电能
麻瓜生物学家发现以下哪个选项没有细胞结构,病毒
猫是一种很受麻瓜欢迎的宠物你你知道猫腹部柔软的小肚子是什么吗,原始袋
世界上人口密度最大的城市是,日本东京
麻瓜在尽量使用更可持续的能源下列哪项不是可持续能源,天然气
麻瓜用什么东西复制物品,复印机
在麻瓜宴会上不应该穿着或佩戴,短裤
麻瓜们不用啸叫咒而是用什么防贼,家庭安全系统
麻瓜孩子经常因哪种神奇生物的破坏行为而背黑锅,刺佬儿
下列哪个不是麻瓜机动车辆,木马
麻瓜认为下列哪种生物不是虚拟的,一角鲸
麻瓜通常使用什么给电器充电,电池
什么是投影仪,能往屏幕上投放影像的设备
麻瓜可能会怎么使用土豆削皮器,给土豆削皮
以下哪种是麻瓜世界中常见的止痛药,布洛芬
麻瓜地理学中最长的河流是,尼罗河
红酒是麻瓜喜爱的饮品它以什么作为原料酿造的,葡萄
加油站是什么,向机动车出售汽油的机构
什么设备能让麻瓜远距离沟通,电话
下述哪项不是巫师给麻瓜汽车施魔法的目的,说话
下列哪项不是现代麻瓜常用的书写工具,羽毛笔
燕尾狗和哪种普通动物十分相似,
声呐是什么,探测水上或水下物体的装置
什么是沙滩球,一种充气玩具
哪种麻瓜运动里有全垒打的说法,棒球
假如一名麻瓜自称铲屎官那么他的家中可能会有什么东西,宠物
下列哪项不是存储麻瓜音乐的设备,搅拌机
下列哪项不是麻瓜庆祝万圣节的方式,装饰鸡蛋
篮球运动员通过把什么投到什么里得分,把球投到挂得很高的网里
吸铁石是什么,能吸住某些金属的物品
你可能会在哪里找到一台自动售票机,火车站
麻瓜可能会用电钻做什么,往木头上钉钉子
在麻瓜迷信中什么东西可以驱赶狼人,
哪位魔法部长为秘密把学生运送到霍格沃茨而使用了麻瓜蒸汽机车,奥塔莱恩甘布尔
塞勒姆审巫案是什么时候发生的,16921693
麻瓜的哪种水下呼吸装置有类似于泡头咒的效果,潜水头盔
麻瓜数学家发现圆形周长的计算公式是,2tr2ttr
麻瓜发明了许多发电方式以下不是用可再生能源发电的是,火力发电
麻瓜使用什么帮助记忆,手机备忘录
麻瓜世界的执法人员叫什么,警察
麻瓜用跑步机来做什么,锻炼身体
驱动汽车的不包括下列哪项,巧克力
麻瓜没有送航天器登上过哪个天体,土星
魔法部部长拜访了英国哪位麻瓜官员,首相
麻瓜天文学家发现火星有几颗卫星,
麻瓜可能会用什么来发信号示意他们的位置,照明弹
麻瓜地理学家发现世界上最大的一块大陆是,亚欧大陆
麻瓜用什么举起并传送重物,起重机
荧光棒是什么,能发光的塑料管
哪位麻瓜科学家发明了电话,亚历山大格拉汉姆贝尔
自动气囊是干什么的,碰撞事故中能拯救生命
下述哪项不是麻瓜运动,网上冲浪
如果麻瓜想要生火可能会用什么东西,火柴
和礼堂里永不融化的冰柱不同麻瓜世界的冰块一般会在摄氏多少度时开始融化,od0
铅笔和钢笔大范围取代了羽毛笔成为了麻瓜社会的主要书写用具铅笔芯是什么做的,石墨
以下哪个选项不是麻瓜常用的图片格式,wma
下列哪项不是巫师不使用麻瓜技术的原因,麻瓜技术不够方便
下列哪项不适合麻瓜上班穿,晨袍
麻瓜也有会动的楼梯电电力驱动的楼梯叫什么,扶梯
哪位麻瓜化学家兼物理学家在放射性领域做了开创性的研究,玛丽居里
下列哪项不是麻瓜的笑话商品,打隔粉
什么是冰箱,能创造低温条件以储存食物的东西
一名麻瓜心理学家通过狗对铃声和喂食的反应提出了条件反射理论他是,巴甫洛夫
麻瓜世界中最大的湖泊是,里海
麦克风能让麻瓜增大他们的声音和其他的声音它们的工作原理是,它们将声波转变为电子信号
麻瓜常常使用水银温度计查探体温水银又被称为,
哪种神奇生物因为对麻瓜和哑炮的恶意而得名,燕尾狗
哪位著名的麻瓜哲学家创建了儒家学派,孔子
下列选项中哪个没被麻瓜电器化,勺子
以下哪个麻瓜职业的工作内容是修理和保养机械,技工
以下哪个是麻瓜常说的话,让你也尝尝这种滋味22
麻瓜在哪个部位戴上隐形眼镜,眼睛
电脑鼠标是什么,用来和电脑互动的设备
麻瓜管能连接分享和其用户和其他设备互动的电子设备叫什么,智能设备
下列哪一项不是印刷机的发明带来的直接结果,塞勒姆女巫审判案
哪位麻瓜科学家发明了商业用途的白炽灯泡,托马斯爱迪生
曲棍球运动中麻瓜拿着球杆追赶什么,球
关于麻瓜画像下列说法正确的是,画像主人公多是伟人
下列哪项标准不是国际巫师联合会保密法要求巫师在面对麻瓜时穿衣服要符合的标准,要时髦
宇航员是什么,到太空去的麻瓜
下列哪项对于麻瓜的陈述是对的,他们都很特别
微波炉如何加热食物,电磁波
麻瓜使用欧姆作为什么单位,电阻
可乐是麻瓜最爱的饮品之一男那么大家知道可乐是添加了什么才会冒泡的吗,二氧化碳
一名伟大的麻瓜科学家提出了日心说他的名字是,尼古拉哥白尼
为什么麻瓜会在他们的草坪上放火烈鸟塑像,为了装饰
下列哪项不是麻瓜的通勤方式,施了魔法的马桶
14世纪哪种疾病导致欧洲半数麻瓜死亡,黑死病
如果麻瓜想去溜冰那他们要在哪个身体部位穿上溜冰鞋,
下列哪项不是一种麻瓜交通方式,除草机
在烤吐司机里不应该放进下列哪项,叉子
麻瓜世界中存在绝对零度的说法大约是指多少度呢,273273c
哪类麻瓜职业可能会用到听诊器,医生
下列哪一项不是捉弄麻瓜的例子,棒糖羽毛笔
以下神奇生物中在麻瓜世界口碑最好的可能是,仙子
牙线是用来干什么的,清理牙齿
橡皮筋的用途是,把某物绑在一起
麻瓜的圣诞拉炮里不会冒出下列哪项事物,活老鼠
什么是扫描仪,一种诊断疾病和伤口的设备
麻瓜把大于1的非负整数中只能被1和自身整除的数称为11,质数
霍格沃茨所处的苏格兰在麻瓜的地理教科书中属于什么气候,温带海洋气候
部分学生为了偷懒会服用发烧糖请问麻瓜认为腋下温度超过多少摄氏度算发烧,373thecorrectansweris373c
兵马俑是哪位中国麻瓜皇帝的陵墓,秦始皇
麻瓜世界中随处可见禁止吸烟的标识请问香烟中什么物质会对人体造成伤害,尼古丁
麻瓜不能在因特网上做什么,品尝奶酪
链锯的主要用途是,砍树
麻瓜用打蛋器做什么,搅合鸡蛋
什么是万维网,能存储并呈现数据的软件平台
什么是牛奶工,配送并贩卖牛奶的麻瓜
麻瓜看向霍格沃茨的时候会看到什么,一堆破败的废墟还立着危险标识
如果麻瓜把自己锁在车或者房子外面他们会给谁打电话,锁匠
下列哪项最好不要当着麻瓜的面穿,有着闪闪发亮的星星图案的袜子
下面哪位著名的巫师是麻瓜出身,赫敏格兰杰
请根据麻瓜数学的常识选出与934站台中93相等的数字934,975
炸药的爆炸能力是什么给的,硝化甘油
麻瓜将研究生物及其生命过程的学科叫什么,生物学
与此对应研究麻瓜的学科是不是该叫麻瓜学,占星学
在麻瓜心中猫头鹰是一种,野生动物
下列哪项不属于计算机的硬件,钢琴
隐形眼镜是什么东西,矫正视力的眼部用品
下列哪项不是麻瓜的火箭类型,风力发电型
真空吸尘器是什么,扫地的机器
像魁地奇一样麻瓜热衷于一种名叫足球的运动一般来说一支足球队在场有多少人,11
麻瓜想要照亮暗处可能会使用什么,手电筒
麻瓜用水管做什么,给花园浇水
麻瓜拿真空吸尘器干什么,清除灰尘和污垢
牙医治疗的是哪个身体部位,口腔
蹦床是用来做什么的,让人蹦上天
声呐是麻瓜发明的一种探测设备你知道麻瓜从哪种动物身上获取了相关灵感吗,海豚
音乐深受麻瓜的喜爱你知道被称为世界音乐之都的是哪座城市吗,维也纳
丝绸是麻瓜世界中常见的纺织品它与哪种动物息息相关,
在麻瓜的地理学中世界上最长的山脉是,安第斯山脉
下列哪种宠物不适合送给麻瓜,鳄鱼
下列哪项不是麻瓜烹饪中会使用的东西,暖气炉
下列哪项巫师和麻瓜之间的互动是不合适的,巫师卖给麻瓜缩身钥匙
下列英国的村庄中哪个是唯一一个全部居民都是会使用魔法的,霍格莫德
麻瓜使用滑板是为了,滑行
麻瓜将太阳直射能达到最高的纬度称为回归线那么回归线的纬度是,2326
一名麻瓜想要驱除寄生虫麻瓜医生可能会建议他服用什么,阿苯达唑
被称为诗仙的中国麻瓜诗人是,李白
麻瓜用下列哪项物品听音乐,耳塞式耳机
麻瓜拿卷发棒做什么,他们的头发
下列哪项不是麻瓜的一种音乐类型,巫师爵士
下列哪项不是麻瓜工程类职业的分支,动物
游乐场里不太可能会有以下哪项事物,鳄鱼窝
什么是除草机,割草的机器
公元1世纪火山的爆发掩埋了一座位于亚平宁半岛的麻瓜城市这座麻瓜城市是1,庞贝古城
人为什么能在死海中漂浮不沉,盐分高
麻瓜作家查尔斯狄更斯写了下面哪部小说,远大前程
麻瓜使用壁炉不是为了,通过飞路网移动
下列哪项不是麻瓜的点心,吹宝超级泡泡糖
潜水艇是什么,一种水下的移动装置
哪位麻瓜数学家兼物理学家发现了重力的存在,艾萨克牛顿
元素周期表是什么,化学元素的展示
麻瓜医生用什么修复断掉的骨头,石膏
麻瓜科学家阿基米德说给我一个支点我就能撬起整个地球这句话涉及的物理原理是,杠杆原理
在麻瓜历法中闰年有366天以下哪个是麻瓜历法中的闰年366,1844
水管工是什么,安装或修理管道的麻瓜
如果想和麻瓜聊天该回避下列哪项话题,昨晚的魁地奇比赛
哪位巫师作者在凡尘俗世的哲学为什么麻瓜们不喜欢刨根问底中断定麻瓜会忽视魔法现象,莫迪克斯埃格教授
什么是汽车,一种有轮子机动的运载工具
麻瓜农民可能不会畜养哪种生物,庞洛克
麻瓜经常目击到哪种北美的神奇生物,大脚怪
什么是停车场,停放汽车的地方
下列哪项不是一种流行的麻瓜舞蹈,伍朗贡之形飞行术
麻瓜把月球运动到太阳和地球中间且三者正好处在一条直线引发的天文现象称为,日食
什么是闪存盘,能储存数码信息的装置
什么麻瓜科技能清洁脏碗盘和餐具,洗碗机
什么是人造卫星,被送入太空轨道的航天器
麻瓜用油炸锅做什么,烹饪
足球是麻瓜喜爱的运动以下哪个位置的运动员可以用手接触足球,守门员
和麻瓜相处时巫师通常不应身着什么衣服,色彩鲜艳的喇叭裤
参考古怪姐妹乐队推测麻瓜的摇滚乐队中通常没有哪个位置,调音手
麻瓜用什么工具能看清肉眼看不清的微小物品,显微镜
下列哪项不是一种麻瓜电视节目的类型,波特观察
下列哪项不是重要的国际麻瓜运动赛事,魁地奇世界杯
全世界对运动的喜爱都是一样的是吧,魁地奇世界杯
什么是火警报警器,能侦测火灾并发出警告的装置
麻瓜扫帚的用途不包括,飞行
中暑是一种高温导致的症状假设你遇到了一名中暑晕倒的麻瓜以下哪个方法不能帮到他,对其使用夹板紧扎
哪个国家于1942年首次发射麻瓜火箭发射进入太空1942,德国
麻瓜的照片和魔法照片有什么区别,它们不能动
麻瓜去电影院做什么,看电影
温度计什么,测量气温的用具
霍格沃茨特快从哪个麻瓜火车站的94站台发车934,国王十字车站
什么是排水蛇,疏通水管的工具
以下哪个版面不会出现在麻瓜报纸上,巫娱圈
麻瓜能通过电话做什么,远距离也能立刻通话
麻瓜发明家亚历山大格拉汉姆贝尔是何时取得了电话的专利的,1876
麻瓜用立体音响做什么,听音乐
下列哪项不是麻瓜制造卫星的目的,控制天气
如果你想到麻瓜家里去应该怎么做,进入前需要敲门
麻瓜世界的希波克拉底誓言最初是针对哪个领域的,医学
麻瓜们常常利用发电机产生能量世界上第一台发电机是谁发明的,法拉第
魔术师是什么,麻瓜表演者表演类似魔法的绝技
电线塔的作用是,将电力从发电处传送之其它地方
呼啦圈是做什么用的,娱乐
电子游戏的用途不包括下列哪项,驱除害虫
麻瓜有种灯泡叫白炽灯用久了会发黑谁知道这是为什么,钨丝升华
麻瓜通常使用什么物品来通讯,手机
哪种魔法交通方式被禁用魔法物品登记簿定义为麻瓜制品从而在英国被禁,飞毯
以下哪个不是默片表演大师查理卓别林的代表作,卡里加利博士
除去太阳麻瓜天文学家目前能够观测到离地球最近的一颗恒星叫什么名字,比邻星
麻瓜花园里找不到以下哪种植物,曼德拉草
麻瓜往滚筒甩干机里放什么东西,湿衣物
以下哪种方法不能让麻瓜吃到更加香甜的水果,无节制浇水
麻瓜用来表示金的纯度请问含金量约为999即是多少999,24k
什么是键盘,电脑操作设备
猫狸子很像哪种非神奇生物,
麻瓜的订书机有什么用途,把纸张订在一起
什么是跳绳,一种健身器材
麻瓜会回收旧材料减少垃圾下列哪项物品是不可回收的1,香蕉皮
橡胶鸭的主要功能是,泡澡时的娱乐
全世界麻瓜的网民比例大概是多少,0595
麻瓜地理学家发现世界上最大的半岛是,阿拉伯半岛
请问月地距离最远时大概有多远,405696千米
麻瓜用闹钟来做什么,让他们起床
麻瓜行李箱不可能出现什么特征,被施加无痕伸展咒
麻瓜不会在圣诞树上挂上什么,活的仙子
麻瓜不会用下列哪项物品沟通,指南针
迪斯科球是什么,表面全是小镜子的旋转球体
2014年魁地奇世界杯在巴塔哥尼亚沙漠举行按照麻瓜分类那里是什么气候2014,温带大陆性气候
在电话上售卖产品和服务的麻瓜叫什么,电话销售员
下列哪项不是天然气的用途,清洗汽车
麻瓜可能会用什么来修理碎掉的眼镜,透明胶
燕尾狗和哪种非神奇生物很像,
使用飞路网到达麻瓜场所的巫师可能会困进什么麻烦的家居用器里,电壁炉
麻瓜所说一天一苹果医生远离我的含义是,营养食物让你保持健康
麻瓜的上班族们可能会通过什么方式给同事发送消息,电子邮件
什么是自拍,一种自画像式的照片
哈利波特在1991年进入霍格沃茨学习以下哪一年是哈利在学校度过的润年1991,1992
一名麻瓜前往斯芬克斯的故乡旅行他不可能看到哪个景观,太平洋海岸
水上摩托能让麻瓜穿过什么,
人口密度最大的麻瓜城市是,东京
麻瓜可能会怎么使用微波炉,给食物加热
麻瓜需要电力不是因为下面哪项原因,它能提供维生素和营养
麻瓜世界中通过酸碱度来衡量物体的酸性和碱性酸碱度为多少是中性,
马拉松是一项展现麻瓜体力与意志力的项目你知道马拉松比赛全程大约有多长吗,42公里
麻瓜使用什么东西作为巧克力的主要原料,可可豆
麻瓜对火螃蟹很感兴趣是因为什么,它的壳上有贵重的珠宝
主机板是什么,计算机的零件
麻瓜眼睛可见光谱中所能看到的频率最高的光是什么颜色的,紫色
以下哪个不属于极昼极夜现象产生的原因,熄灯器
麻瓜用什么设备来储存或处理数据,电脑
放大镜是什么,能让物品在视觉上变大的透镜
下列哪项不是一种麻瓜教育机构,根管治疗
下列哪个东西如果出现在了麻瓜世界里会显得很诡异,看地图的虎斑猫
以下哪项没有出现在元素周期表里,乌头
英国的麻瓜货币是,英镑
